/Users/demir/Library/Python/3.9/lib/python/site-packages/urllib3/__init__.py:35: NotOpenSSLWarning: urllib3 v2 only supports OpenSSL 1.1.1+, currently the 'ssl' module is compiled with 'LibreSSL 2.8.3'. See: https://github.com/urllib3/urllib3/issues/3020
  warnings.warn(
2025-09-15 12:48:59,486 - INFO - Fetching: https://nurederm.com/urun/mfc-multi-functional-anti-wrinkle-cream-50-ml
2025-09-15 12:48:59,645 - INFO - Downloaded: MFC-Multi-Functional-Anti-Wrinkle-Cream-50-ml-1.jpg
2025-09-15 12:48:59,666 - INFO - Downloaded: MFC-Multi-Functional-Anti-Wrinkle-Cream-50-ml-2.jpg
2025-09-15 12:48:59,713 - INFO - Downloaded: MFC-Multi-Functional-Anti-Wrinkle-Cream-50-ml-3.jpg
2025-09-15 12:48:59,763 - INFO - Downloaded: MFC-Multi-Functional-Anti-Wrinkle-Cream-50-ml-4.jpg
2025-09-15 12:48:59,812 - INFO - Downloaded: MFC-Multi-Functional-Anti-Wrinkle-Cream-50-ml-5.jpg
2025-09-15 12:49:00,819 - INFO - Processing product 19/60: HSC (Hydro Soothing Cream) 50 ml
2025-09-15 12:49:00,819 - INFO - Fetching: https://nurederm.com/urun/hsc-hydro-soothing-cream-50-ml
2025-09-15 12:49:01,062 - INFO - Downloaded: HSC-Hydro-Soothing-Cream-50-ml-1.jpg
2025-09-15 12:49:01,082 - INFO - Downloaded: HSC-Hydro-Soothing-Cream-50-ml-2.jpg
2025-09-15 12:49:01,126 - INFO - Downloaded: HSC-Hydro-Soothing-Cream-50-ml-3.jpg
2025-09-15 12:49:01,180 - INFO - Downloaded: HSC-Hydro-Soothing-Cream-50-ml-4.jpg
2025-09-15 12:49:01,235 - INFO - Downloaded: HSC-Hydro-Soothing-Cream-50-ml-5.jpg
2025-09-15 12:49:02,245 - INFO - Processing product 20/60: PCC (Problem Control Cream) 50 ml
2025-09-15 12:49:02,245 - INFO - Fetching: https://nurederm.com/urun/pcc-problem-control-cream-50-ml
2025-09-15 12:49:02,395 - INFO - Downloaded: PCC-Problem-Control-Cream-50-ml-1.jpg
2025-09-15 12:49:02,417 - INFO - Downloaded: PCC-Problem-Control-Cream-50-ml-2.jpg
2025-09-15 12:49:02,499 - INFO - Downloaded: PCC-Problem-Control-Cream-50-ml-3.jpg
2025-09-15 12:49:02,600 - INFO - Downloaded: PCC-Problem-Control-Cream-50-ml-4.jpg
2025-09-15 12:49:02,693 - INFO - Downloaded: PCC-Problem-Control-Cream-50-ml-5.jpg
2025-09-15 12:49:03,699 - INFO - Processing product 21/60: MFC Multi Functional Cream 250 ml
2025-09-15 12:49:03,699 - INFO - Fetching: https://nurederm.com/urun/mfc-multi-functional-cream-250-ml
2025-09-15 12:49:03,855 - INFO - Downloaded: MFC-Multi-Functional-Cream-250-ml-1.jpg
2025-09-15 12:49:03,882 - INFO - Downloaded: MFC-Multi-Functional-Cream-250-ml-2.jpg
2025-09-15 12:49:03,932 - INFO - Downloaded: MFC-Multi-Functional-Cream-250-ml-3.jpg
2025-09-15 12:49:03,999 - INFO - Downloaded: MFC-Multi-Functional-Cream-250-ml-4.jpg
2025-09-15 12:49:04,061 - INFO - Downloaded: MFC-Multi-Functional-Cream-250-ml-5.jpg
